,Country Name,Country Code,2015
183,St. Vincent and the Grenadines,VCT,390.0
184,Sudan,SDN,1879357.5
185,Suriname,SUR,163820.0
186,Swaziland,SWZ,17360.0
187,Sweden,SWE,447420.0
188,Switzerland,CHE,41285.0
189,Syrian Arab Republic,SYR,185180.0
190,Tajikistan,TJK,142550.0
191,Tanzania,TZA,947300.0
192,Thailand,THA,513120.0
193,Timor-Leste,TMP,14870.0
194,Togo,TGO,56790.0
195,Tonga,TON,750.0
196,Trinidad and Tobago,TTO,5130.0
197,Tunisia,TUN,163610.0
198,Turkey,TUR,783560.0
199,Turkmenistan,TKM,488100.0
200,Turks and Caicos Islands,TCA,950.0
201,Tuvalu,TUV,30.0
202,Uganda,UGA,241550.0
203,Ukraine,UKR,603550.0
204,United Arab Emirates,ARE,83600.0
205,United Kingdom,GBR,243610.0
206,United States,USA,9831510.0
207,Uruguay,URY,176220.0
208,Uzbekistan,UZB,447400.0
209,Vanuatu,VUT,12190.0
210,"Venezuela, RB",VEN,912050.0
211,Vietnam,VNM,330972.0
212,Virgin Islands (U.S.),VIR,350.0
213,West Bank and Gaza,WBG,6020.0
214,"Yemen, Rep.",YEM,527970.0
215,Zambia,ZMB,752610.0
216,Zimbabwe,ZWE,390760.0
