,2012,City Name,City Code
188,10163.44,Veracruz,MEX59
189,21824.61,Puebla,MEX60
190,10553.63,Cuernavaca,MEX61
191,24817.73,Centro,MEX70
192,5803.99,Oaxaca de Juárez,MEX73
193,6125.81,Acapulco de Juárez,MEX74
194,5080.62,Tuxtla Gutiérrez,MEX75
195,743805.45,The Netherlands,NLD
196,121289.27,Amsterdam,NL002
197,39517.77,The Hague,NL001
198,66510.33,Rotterdam,NL003
199,38118.2,Utrecht,NL004
200,31087.24,Eindhoven,NL005
201,298099.56,Norway,NOR
202,75594.56,Oslo,NO001
203,841841.36,Poland,POL
204,138448.63,Warsaw,PL001
205,64791.18,Katowice,PL010
206,23109.98,Lódz,PL002
207,35282.72,Kraków,PL003
208,25968.18,Wroclaw,PL004
209,33814.75,Poznan,PL005
210,30060.75,Gdansk,PL006
211,13432.76,Lublin,PL009
212,268216.27,Portugal,PRT
213,100538.06,Lisbon,PT001
214,30922.79,Porto,PT002
215,400599.14,Sweden,SWE
216,124384.82,Stockholm,SE001
217,36712.77,Gothenburg,SE002
218,24757.23,Malmö,SE003
219,55313.01,Slovenia,SVN
220,21567.4,Ljubljana,SI001
221,137454.56,Slovak Republic,SVK
222,40168.17,Bratislava,SK001
223,2306762.32,United Kingdom,GBR
224,652583.23,London,UK001
225,61257.08,Birmingham (UK),UK002
226,43220.65,Leeds,UK003
227,14162.31,Bradford,UK004
228,29243.67,Liverpool,UK005
229,68331.56,Manchester,UK006
230,20212.78,Cardiff,UK007
231,24605.44,Sheffield,UK008
232,34072.33,Bristol,UK009
233,29347.19,Newcastle,UK010
234,20684.03,Leicester,UK011
235,22443.06,Portsmouth,UK017
236,26303.16,Nottingham,UK023
237,37520.96,Glasgow,UK097
238,34233.4,Edinburgh,UK098
239,15458301.38,United States,USA
240,237781.18,Philadelphia,US106
241,104677.93,Columbus,US107
242,162417.92,Denver,US114
243,151201.99,Portland,US012
244,114729.25,Baltimore,US122
245,110806.12,Cincinnati,US124
246,442758.65,Washington,US125
247,109690.59,Kansas City,US128
248,133119.62,Saint Louis (US),US134
249,99660.45,Sacramento/Roseville,US135
250,211465.64,Minneapolis,US014
251,568072.44,San Francisco,US146
252,891793.72,Los Angeles,US190
253,263711.72,Atlanta,US196
254,190462.1,Phoenix,US202
255,304270.25,Dallas,US209
256,183778.55,San Diego,US210
257,470838.44,Houston,US242
258,88498.41,San Antonio,US245
259,102402.59,Orlando,US250
260,259444.03,Miami,US259
261,231514.38,Seattle,US003
262,88721.71,Milwaukee,US033
263,199259.3,Detroit,US045
264,305833.34,Boston,US048
265,554230.82,Chicago,US055
266,98246.54,Cleveland,US069
267,1215233.96,New York,US084
268,30215.56,Harrisburg,US103
269,110044.79,Indianapolis,US115
270,32493.79,Dayton,US117
271,26781.39,Colorado Springs,US133
272,61160.7,Louisville,US141
273,28090.38,Wichita,US147
274,36614.22,Richmond,US149
275,57873.78,Norfolk-Portsmouth-Chesapeake-Virginia beach,US154
276,37762.48,Fresno,US155
277,87260.64,Las Vegas,US159
278,77671.32,Nashville,US160
279,50460.66,Tulsa,US161
280,60753.56,Raleigh,US170
281,65466.9,Oklahoma city,US174
282,98958.79,Charlotte,US178
