,Total land area (km2),City Name,City Code
190,947.07,Cuernavaca,MEX61
191,3209.37,Centro,MEX70
192,1702.22,Oaxaca de Juárez,MEX73
193,1731.31,Acapulco de Juárez,MEX74
194,2167.43,Tuxtla Gutiérrez,MEX75
195,33783.4,The Netherlands,NLD
196,2819.84,Amsterdam,NL002
197,296.87,The Hague,NL001
198,1480.0,Rotterdam,NL003
199,622.67,Utrecht,NL004
200,1199.68,Eindhoven,NL005
201,304280.0,Norway,NOR
202,7099.16,Oslo,NO001
203,312679.0,Poland,POL
204,8611.73,Warsaw,PL001
205,3920.33,Katowice,PL010
206,1693.68,Lódz,PL002
207,3749.06,Kraków,PL003
208,2635.24,Wroclaw,PL004
209,3077.07,Poznan,PL005
210,2615.68,Gdansk,PL006
211,3222.11,Lublin,PL009
212,92118.0,Portugal,PRT
213,3988.31,Lisbon,PT001
214,951.54,Porto,PT002
215,410335.4,Sweden,SWE
216,7106.87,Stockholm,SE001
217,3850.19,Gothenburg,SE002
218,3468.54,Malmö,SE003
219,20141.0,Slovenia,SVN
220,3145.03,Ljubljana,SI001
221,49033.8,Slovak Republic,SVK
222,2600.66,Bratislava,SK001
223,242509.2,United Kingdom,GBR
224,6920.87,London,UK001
225,1454.14,Birmingham (UK),UK002
226,1726.0,Leeds,UK003
227,443.63,Bradford,UK004
228,556.66,Liverpool,UK005
229,1435.01,Manchester,UK006
230,736.87,Cardiff,UK007
231,1109.88,Sheffield,UK008
232,807.31,Bristol,UK009
233,2873.08,Newcastle,UK010
234,1099.2,Leicester,UK011
235,428.6,Portsmouth,UK017
236,1110.74,Nottingham,UK023
237,855.84,Glasgow,UK097
238,1279.59,Edinburgh,UK098
239,9161923.0,United States,USA
240,4326.91,Philadelphia,US106
241,11491.61,Columbus,US107
242,21794.38,Denver,US114
243,17657.21,Portland,US012
244,3730.13,Baltimore,US122
245,10779.42,Cincinnati,US124
246,16605.51,Washington,US125
247,19095.39,Kansas City,US128
248,13001.75,Saint Louis (US),US134
249,13749.86,Sacramento/Roseville,US135
250,21030.86,Minneapolis,US014
251,17089.9,San Francisco,US146
252,83682.18,Los Angeles,US190
253,9796.08,Atlanta,US196
254,23889.14,Phoenix,US202
255,12067.76,Dallas,US209
256,11028.58,San Diego,US210
257,22488.43,Houston,US242
258,19126.6,San Antonio,US245
259,10390.36,Orlando,US250
260,14179.44,Miami,US259
261,11172.99,Seattle,US003
262,3865.74,Milwaukee,US033
263,5244.45,Detroit,US045
264,4829.9,Boston,US048
265,18910.46,Chicago,US055
266,1790.11,Cleveland,US069
267,9882.07,New York,US084
268,5330.03,Harrisburg,US103
269,6929.77,Indianapolis,US115
270,2280.64,Dayton,US117
271,6963.22,Colorado Springs,US133
272,9429.64,Louisville,US141
273,9428.96,Wichita,US147
274,795.09,Richmond,US149
275,3054.99,Norfolk-Portsmouth-Chesapeake-Virginia beach,US154
276,21162.1,Fresno,US155
277,67988.47,Las Vegas,US159
278,9094.09,Nashville,US160
279,18235.43,Tulsa,US161
280,5562.72,Raleigh,US170
281,14456.94,Oklahoma city,US174
282,4016.56,Charlotte,US178
283,24079.87,Albuquerque,US180
284,13234.05,Memphis,US181
285,7781.82,Little Rock,US186
286,3961.67,Columbia,US195
287,6692.58,Birmingham (US),US205
288,4681.62,Fort Worth,US212
289,7361.17,Charleston,US213
290,23799.97,Tucson,US223
291,14467.58,El Paso,US227
292,6438.7,Baton Rouge,US233
293,11084.37,Austin,US234
294,8871.53,Jacksonville,US237
295,12510.83,New Orleans,US241
296,2853.86,Clearwater/Saint Petersburg,US251
297,2819.26,Tampa,US252
298,4102.0,Mcallen,US261
299,5268.07,Madison,US035
300,4111.52,Buffalo,US038
301,2258.97,Grand Rapids,US039
302,7454.61,Albany,US044
303,1665.12,Providence,US060
304,908.74,Toledo (US),US065
305,9020.15,Des Moines,US070
306,11411.74,Omaha,US077
307,1087.89,Akron,US081
308,27710.01,Salt Lake City,US089
309,1928.85,Pittsburgh,US097
