,2014,City Name,City Code
205,2589349,Katowice,PL010
206,939568,Lódz,PL002
207,1362740,Kraków,PL003
208,837995,Wroclaw,PL004
209,950596,Poznan,PL005
210,1105467,Gdansk,PL006
211,671410,Lublin,PL009
212,10427301,Portugal,PRT
213,2886662,Lisbon,PT001
214,1313829,Porto,PT002
215,9644864,Sweden,SWE
216,2018208,Stockholm,SE001
217,898541,Gothenburg,SE002
218,676852,Malmö,SE003
219,2061085,Slovenia,SVN
220,585850,Ljubljana,SI001
221,5415949,Slovak Republic,SVK
222,729157,Bratislava,SK001
223,64308261,United Kingdom,GBR
224,12401188,London,UK001
225,1957078,Birmingham (UK),UK002
226,1197922,Leeds,UK003
227,577474,Bradford,UK004
228,954181,Liverpool,UK005
229,1935559,Manchester,UK006
230,664861,Cardiff,UK007
231,920128,Sheffield,UK008
232,836621,Bristol,UK009
233,1082729,Newcastle,UK010
234,692217,Leicester,UK011
235,594455,Portsmouth,UK017
236,863918,Nottingham,UK023
237,967101,Glasgow,UK097
238,764454,Edinburgh,UK098
239,318857056,United States,USA
240,4066064,Philadelphia,US106
241,1970809,Columbus,US107
242,2732325,Denver,US114
243,2358928,Portland,US012
244,1996200,Baltimore,US122
245,2165678,Cincinnati,US124
246,6022391,Washington,US125
247,2098357,Kansas City,US128
248,2610223,Saint Louis (US),US134
249,2311721,Sacramento/Roseville,US135
250,3496061,Minneapolis,US014
251,6989419,San Francisco,US146
252,17718858,Los Angeles,US190
253,4762159,Atlanta,US196
254,4163445,Phoenix,US202
255,4547218,Dallas,US209
256,3215637,San Diego,US210
257,6519358,Houston,US242
258,2345730,San Antonio,US245
259,2374184,Orlando,US250
260,5805883,Miami,US259
261,2776119,Seattle,US003
262,1579180,Milwaukee,US033
263,3801161,Detroit,US045
264,3684250,Boston,US048
265,9655015,Chicago,US055
266,1468288,Cleveland,US069
267,16713992,New York,US084
268,591987,Harrisburg,US103
269,1769561,Indianapolis,US115
270,693273,Dayton,US117
271,694770,Colorado Springs,US133
272,1286409,Louisville,US141
273,609887,Wichita,US147
274,533689,Richmond,US149
275,1109942,Norfolk-Portsmouth-Chesapeake-Virginia beach,US154
276,1152979,Fresno,US155
277,2293610,Las Vegas,US159
278,1328572,Nashville,US160
279,982186,Tulsa,US161
280,1300612,Raleigh,US170
281,1323960,Oklahoma city,US174
282,1474164,Charlotte,US178
283,960839,Albuquerque,US180
284,1378346,Memphis,US181
285,712108,Little Rock,US186
286,697051,Columbia,US195
287,937789,Birmingham (US),US205
288,2107791,Fort Worth,US212
289,718907,Charleston,US213
290,1040867,Tucson,US223
291,858421,El Paso,US227
292,675818,Baton Rouge,US233
293,1958079,Austin,US234
294,1452647,Jacksonville,US237
295,1150702,New Orleans,US241
296,1438208,Clearwater/Saint Petersburg,US251
297,1335571,Tampa,US252
298,876304,Mcallen,US261
299,573789,Madison,US035
300,1121972,Buffalo,US038
301,614322,Grand Rapids,US039
302,889447,Albany,US044
303,844060,Providence,US060
304,436627,Toledo (US),US065
305,645279,Des Moines,US070
306,909370,Omaha,US077
307,541333,Akron,US081
308,1195080,Salt Lake City,US089
309,1200874,Pittsburgh,US097
