Region,Territory Level and Typology,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
    AT312: Linz-Wels,Small regions (TL3) - intermediate,20505.1,21340.8,22524.5,23427.7,24336.5,26464.2,27438.8,29695.2,28871,29994.3,31487.4,32072.2,..,..
    AT313: Mühlviertel,Small regions (TL3) - predominantly rural close to a city,3311.35,3416.32,3503.71,3761.61,3849.26,4226.69,4496.08,4807.07,4965.82,4905.56,5336.08,5596.39,..,..
    AT314: Steyr-Kirchdorf,,4495.85,4686.84,4865.57,5200.82,5517.8,6044.48,6219.57,6512.66,6123.17,6556.2,6900.51,7189.57,..,..
    AT315: Traunviertel,,5774.14,6127.05,6264.79,6535.92,7081.42,7626.28,8119.45,8341.41,8206.88,8263.87,9171.16,9166.73,..,..
  AT32: Salzburg,Large regions (TL2),16877.4,17783.9,18478.5,19699.3,20280.8,22356.6,23779.6,24709.8,24367.1,25703.1,27198.7,28125.1,28394.1,..
    AT321: Lungau,Small regions (TL3) - predominantly rural remote,451.55,490.12,498.1,491.94,517.82,564.26,587.95,625.22,653.9,672.61,691.85,717.88,..,..
    AT322: Pinzgau-Pongau,,4367.15,4585.24,4773.88,4941.12,5180.48,5687,6119.28,6401.22,6361.28,6563.33,6955.57,7107.29,..,..
    AT323: Salzburg und Umgebung,Small regions (TL3) - intermediate,12058.7,12707.4,13206.6,14266.2,14582.5,16105.4,17073.6,17681.1,17354.3,18466,19550.1,20299.9,..,..
  AT33: Tyrol,Large regions (TL2),20362.2,21580.9,22578.8,23751.5,24976.2,27369.5,28448.6,29413.7,29567.5,30258.1,32125.4,33451.9,34080.7,..
    AT331: Außerfern,Small regions (TL3) - predominantly rural close to a city,991.44,1048.34,1083.38,1121.16,1230.82,1375.02,1420.3,1461.59,1436.91,1288.19,1557.25,1621.8,..,..
    AT332: Innsbruck,Small regions (TL3) - predominantly urban,8944.8,9410.52,9728.88,10209.4,10694.9,11585.4,12036.8,12496.3,12445.4,12817.7,13544.9,14110.8,..,..
    AT333: Osttirol,Small regions (TL3) - predominantly rural remote,1024.16,1053.92,1087.91,1162.35,1251.12,1370.35,1377.64,1441.65,1478.38,1531.8,1568.03,1628.95,..,..
    AT334: Tyrolean Oberland,,2659.12,2867.03,3100.7,3306.28,3403.64,3644.91,3790.54,4022.32,4121.21,4154.52,4464.69,4640.01,..,..
    AT335: Tyrolean Unterland,Small regions (TL3) - predominantly rural close to a city,6742.68,7201.07,7576.85,7955.68,8397.98,9393.82,9823.35,9993.03,10085.7,10465.9,10989.4,11451.6,..,..
  AT34: Vorarlberg,Large regions (TL2),10843.7,11531.8,11796,12531.9,12928.6,14060.9,14848.6,15685.7,15501.6,15997.7,16944.3,17247.1,17642.9,..
    AT341: Bludenz-Bregenzer Wald,Small regions (TL3) - predominantly rural close to a city,2678.75,2820.14,2907.12,3225.06,3339.34,3696.31,3840.11,4138.45,4247.96,4328.02,4471.87,4536.26,..,..
    AT342: Rheintal-Bodenseegebiet,Small regions (TL3) - predominantly urban,8164.95,8711.62,8888.9,9306.79,9588.18,10364.6,11007.3,11547.3,11253.7,11669.7,12472.4,12712,..,..
BEL: Belgium,Country,299715,317334,321737,332916,345876,370961,389125,406485,407471,428198,452450,460777,464923,..
  BE1: Brussels Capital Region,Large regions (TL2),56219.2,60219.1,60500.6,61950.9,64562.3,67983.5,70707.3,73563.7,75384.3,79313.7,83783.9,83534.7,84388.1,..
  BE2: Flemish Region,,171965,181826,184689,191746,198985,214426,226184,235051,234314,245469,260822,268088,270265,..
  BE3: Wallonia,,71147.6,74906.9,76227.8,78976,82132.2,88354.1,92031.2,97657.1,97547.4,103131,107544,108832,109940,..
CAN: Canada,Country,930497,960641,1014240,1074840,1162380,1231890,1290070,1333430,1301730,1362090,1427540,1469440,1512970,1565810
  CA10: Newfoundland and Labrador,Large regions (TL2),11852.3,13595.2,15008.6,15952.2,18331.6,21940,24480,25465.2,20744.5,23807.7,27015.8,25970.8,28627.1,..
  CA11: Prince Edward Island,,2835.36,3026.03,3122.24,3264.42,3416.98,3634.57,3806.21,3861.83,4109.53,4261.35,4362.43,4424.63,4624.18,..
  CA12: Nova Scotia,,22027.8,22816.4,24379.4,25147.6,26653.6,27050.9,27934.4,28732.4,29285.9,30369.3,30929,30664.3,31273.9,..
  CA13: New Brunswick,,17334.4,17613.6,18547.5,19563.8,20823.2,21853.8,22960,23025.1,23945.3,24642.5,25331.8,25478.1,25485.7,..
  CA24: Quebec,,195471,202566,211638,220294,231078,240906,251997,254049,262115,270058,278838,286815,289887,..
  CA35: Ontario,,381663,398690,412171,430153,455462,475792,492503,489539,494633,515671,531198,545348,555817,..
  CA46: Manitoba,,29372,30307.5,31136,32935.4,35098.4,38237.1,40587.2,42061.3,42063.9,43331.1,44969.6,47444.8,48992.5,..
  CA47: Saskatchewan,,27698.5,28505.7,30572.5,33758.8,37169.1,38538.7,43048.8,54840.8,50113.5,51918.6,60170,63290.4,66488.2,..
  CA48: Alberta,,125937,124249,140970,156855,184875,202584,213450,239087,204951,221259,241262,253411,270169,..
  CA59: British Columbia,,111417,114310,121122,130702,143074,154738,162359,165224,162791,168747,175385,178594,183501,..
  CA60: Yukon,,1086.42,1059.11,1090.22,1168.99,1282.09,1402.63,1463.17,1616.18,1750.31,1894.75,2017.09,2008.49,2028.47,..
  CA61: Northwest Territories,,2574.62,2588.4,3155.67,3649.76,3637.8,3658.59,3820.21,4062.74,3339.46,3921.4,3787.39,3598.12,3524.86,..
  CA62: Nunavut,,762.55,834.6,839.88,907.78,963.21,1030.64,1127.86,1302.67,1285.94,1585.92,1663.84,1796.65,1953.37,..
CHL: Chile,Country,155222,161845,171299,188358,206427,254644,277331,273410,272852,310380,348341,368053,385824,..
  CL01: Tarapacá,Large regions (TL2),4901.36,5147.72,5865.39,6354.95,6556.12,8305.36,9311.26,9088.72,9134.74,10741.3,10698,9002.35,9667.59,..
  CL02: Antofagasta,,20927.9,20684.4,22388.9,24279.7,25822.5,31094.3,33672.5,31860.5,30646.6,39196.7,39539.2,40895.9,40142.9,..
  CL03: Atacama,,3682.19,3625.83,3774.38,3951.09,4219.54,5497.51,6213.35,6188.22,5807.05,8390.66,10603.9,10781.6,11090.6,..
  CL04: Coquimbo,,4597.63,4637.65,4970.59,5421.59,5882.46,7235.4,8024.88,8270.81,7799.28,10595.9,12277.1,12228.7,12155.9,..
  CL05: Valparaíso,,13513.5,14139.9,14749.7,16254.1,17787.4,22257.8,23352.6,23434.3,23222.8,26746,29965,32100.5,34145,..
  CL06: O'Higgins,,7004.41,7648.02,7761.26,8781.59,9696,11823.9,12462.9,12281.1,12912.9,15040.3,16829.1,16870.6,17332.3,..
  CL07: Maule,,5446.36,5631.94,5901.08,6484.54,7333.21,9204.32,9404.13,9294.79,9191.29,9596.07,10818.2,11298.9,11568.2,..
  CL08: Bío-Bío,,12147.6,13162.7,14064.6,15499.9,17306.2,21159,22526.7,21853.1,21606.6,22543,26508.3,26557.7,27411.3,..
  CL09: Araucanía,,3355.47,3558.95,3678.74,4041.67,4510.29,5590.58,6211.87,6058.82,6035.18,6836.89,7833.43,8163.9,8869.91,..
  CL10: Los Lagos,,4305.55,4616.68,4764.12,5292.24,5713.6,7027.29,7555.54,7487.65,7630.47,8176.51,9625.12,9578.62,10622.8,..
  CL11: Aysén,,660.17,746.46,756.36,834.16,973.84,1129.12,1282.32,1250.56,1385.66,1541.16,1820.98,1911.15,2013.24,..
