Region,Territory Level and Typology,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
    ITC18: Alessandria,,12351.2,12442.2,13037.4,13332.3,13439.9,14643.3,15338.8,15321.3,15150.9,15482.4,15567.8,15424.2,..,..
  ITC2: Aosta Valley,Large regions (TL2),4275.74,4223.2,4472.62,4522.19,4694.75,5055.2,5281.8,5721.2,5604.08,5821.94,5994.01,5904.89,5951.68,..
    ITC20: Aosta Valley,Small regions (TL3) - intermediate,4275.74,4223.2,4472.62,4522.19,4694.75,5055.2,5281.8,5721.2,5604.08,5821.94,5994.01,5904.89,..,..
  ITC3: Liguria,Large regions (TL2),49192.4,47648.8,49328.3,49995,51728.5,55484.7,59578.5,63038.8,60868.7,60603.4,62723.7,62321.6,62705.3,..
    ITC31: Imperia,Small regions (TL3) - intermediate,5221.73,5156.07,5413.61,5515.42,5534.83,6093.38,7035.68,7291.05,6147.93,5915.6,6766.67,6719.45,..,..
    ITC32: Savona,,7941.21,7691.09,8179.37,8349.81,8815.23,9588.52,10312.5,10677.9,10508.2,10113.9,10423.2,10314.3,..,..
    ITC33: Genoa,Small regions (TL3) - predominantly urban,29546.2,28562.1,29461.5,29785.6,30607.1,32928.9,35072.7,37534.6,36790.3,36663.3,37009.9,36848.9,..,..
    ITC34: La Spezia,,6483.23,6239.47,6273.8,6344.2,6771.34,6873.91,7157.58,7535.28,7422.31,7910.61,8524.03,8438.93,..,..
  ITC4: Lombardy,Large regions (TL2),340377,338858,346769,351068,363156,389723,414075,445347,430795,449495,465395,462680,470184,..
    ITC41: Varese,Small regions (TL3) - predominantly urban,26162.6,26298.8,27137.4,27628.3,27818.3,30617.2,31955.3,33258.7,31087.7,33099.7,33257.1,32869.1,..,..
    ITC42: Como,,18012.8,17598,17653.7,17454.3,18337.4,19736.2,21280.2,21080.6,19927.9,20852.2,21776.4,21558.3,..,..
    ITC43: Lecco,,10398.9,10350.9,10578.1,10740.2,11038,11652,12443.7,12595,11826.5,12021.1,12439.4,12255,..,..
    ITC44: Sondrio,Small regions (TL3) - predominantly rural remote,4757.25,4897.77,5134.56,5234.93,5265.09,5582.64,5905.76,6137.32,6131.35,6498.39,6787.48,6800.65,..,..
    ITC46: Bergamo,Small regions (TL3) - predominantly urban,34642.9,34666.4,35524.8,36111.2,37726.4,41514.5,43353.6,43782.1,43424.1,43280.5,44575.2,44161.6,..,..
    ITC47: Brescia,Small regions (TL3) - intermediate,40142.7,40121.9,41013.9,41675.8,42085.1,45561.3,48636.7,50718.2,47197.7,48101.8,50683.7,50208,..,..
    ITC48: Pavia,,14572.9,14435.3,14574.8,14603.5,14415.7,15499.9,16408.8,16314,15214.7,15801,16719,16677.5,..,..
    ITC49: Lodi,,5949.84,5870.56,5969.35,5995.06,6515.23,7364.05,7614.85,7281.51,7440.3,7652.23,7495.11,7490.79,..,..
    ITC4A: Cremona,,11135.1,10939.7,11059.8,11047.6,11394.7,12397.5,13284.8,13519.8,12431.2,12931.6,13212,13148.2,..,..
    ITC4B: Mantua,Small regions (TL3) - predominantly rural close to a city,12152.3,11966,12160.8,12131.6,12323,13165.1,14095.2,14781.8,14217.8,14837.7,15691.3,15606.3,..,..
    ITC4C: Milan,Small regions (TL3) - predominantly urban,139511,139112,142908,144798,151559,160570,171326,195077,192240,203059,210629,210060,..,..
    ITC4D: Monza and Brianza,,22938.9,22600.7,23053.8,23647.9,24678.6,26062.7,27769.4,30801.1,29656,31360.3,32126.7,31846.3,..,..
  ITF1: Abruzzo,Large regions (TL2),31105.3,30425.6,30614,29947,31659.2,34465.9,36707.2,38872.7,37892.4,38832.8,41038.4,41219,39883.1,..
    ITF11: L'Aquila,Small regions (TL3) - predominantly rural close to a city,6806.52,6615.7,6565.55,6622.71,7104.06,7762.24,8593.35,8691.46,8144.54,8659.66,9308.4,9460.4,..,..
    ITF12: Teramo,,7261.72,7050.79,7059.69,7004.25,7224.68,7849.48,8235.42,8754.86,8868.57,9085.59,9284.99,9313.73,..,..
    ITF13: Pescara,Small regions (TL3) - intermediate,7579.37,7562.08,7807.56,7783.3,8004.42,8454.66,9179.89,9811.95,9875.99,9626.17,10163,10193.8,..,..
    ITF14: Chieti,Small regions (TL3) - predominantly rural close to a city,9457.72,9197.05,9181.15,8536.75,9326.02,10399.6,10698.6,11614.5,11003.3,11461.3,12282,12249.8,..,..
  ITF2: Molise,Large regions (TL2),6806.27,6689.31,6735.89,6844.68,7074.36,7829.22,8303.52,8427.2,8301.58,8223.71,8325.01,8152.13,7777.61,..
    ITF21: Isernia,Small regions (TL3) - predominantly rural remote,1834.77,1814.32,1837.24,1895.07,1985.54,2109.17,2159.92,2259.1,2227.72,2223.96,2273.77,2236.76,..,..
    ITF22: Campobasso,,4971.5,4874.99,4898.66,4949.6,5088.82,5720.05,6143.61,6168.1,6073.86,5999.75,6051.24,5915.37,..,..
  ITF3: Campania,Large regions (TL2),101490,101927,103580,104900,108500,116810,123451,128335,126501,125513,127187,127752,129196,..
    ITF31: Caserta,Small regions (TL3) - predominantly urban,13970.1,14344.9,14808.8,15271.5,15914.6,17214.8,18227.7,17774.1,17690.9,17217.1,17507.2,17608.6,..,..
    ITF32: Benevento,Small regions (TL3) - predominantly rural close to a city,4886.2,4849.75,4870.42,4899.98,4988.47,5303.7,5726.47,5688.98,5551.91,5622.7,5711.74,5758.22,..,..
    ITF33: Naples,Small regions (TL3) - predominantly urban,56873.5,56893.6,57843.5,58700.4,60606.9,64531.9,67937.3,72986.3,71780.2,71114.2,71479.3,71679.8,..,..
    ITF34: Avellino,Small regions (TL3) - intermediate,7529.86,7521.85,7502.06,7520.26,7724.57,8506.72,9052.41,9431.19,9309,9300.81,9378.64,9455.16,..,..
    ITF35: Salerno,,18230.6,18316.4,18555.6,18508,19265.2,21252.5,22506.8,22454.1,22169.3,22258.6,23108.4,23250.3,..,..
  ITF4: Apulia,Large regions (TL2),73081.7,71924.9,73257.1,74087.6,76050.4,82544.7,86035.5,88667.5,87266.2,88542,91376.1,90714.6,87894.2,..
    ITF43: Taranto,Small regions (TL3) - intermediate,9874.61,9697.83,10258,10623.8,11063.5,11734.6,12207.1,12917.4,12515,12778.1,13424.1,13321,..,..
    ITF44: Brindisi,,6815.44,6806.77,7089.06,7037.13,7181.67,8040.84,8194.73,8016.31,7905.98,8540.84,9080.76,8962.76,..,..
    ITF45: Lecce,,12980.9,12947.1,13377,13485,13988.5,15017.5,15512.4,15475.2,15524.2,15554.1,15874.8,15766,..,..
    ITF46: Foggia,Small regions (TL3) - predominantly rural close to a city,10714,10821.3,10743.5,11140.7,11478.7,12256.7,12673.9,12923.5,12863.8,12766.1,12963.6,12895.4,..,..
    ITF47: Bari,Small regions (TL3) - intermediate,26549,25692.7,25848,25844.7,26286.2,28905.7,30458.7,32031.8,31414.2,31732.2,32688.7,32493.3,..,..
    ITF48: Barletta-Andria-Trani,,6147.77,5959.26,5941.51,5956.4,6051.86,6589.29,6988.64,7303.42,7042.84,7170.64,7344.22,7274.71,..,..
  ITF5: Basilicata,Large regions (TL2),11617,11371,11494.9,11719.3,11909.6,13092.9,13849.2,14378.3,14033.5,13783.7,14359.3,13960.1,14087.7,..
    ITF51: Potenza,Small regions (TL3) - predominantly rural close to a city,7730.87,7659.25,7723.79,7783.15,7953.49,8786.17,9255.02,9709.71,9489.09,9604.17,9958.79,9669.93,..,..
    ITF52: Matera,,3886.08,3711.78,3771.1,3936.17,3956.14,4306.78,4594.17,4668.55,4544.36,4179.47,4400.55,4291.49,..,..
  ITF6: Calabria,Large regions (TL2),33095.3,32444,33300.4,34084.2,35285.5,37899.8,39709.5,41805.1,41285.6,41053.6,41760.3,41135.2,39510.3,..
    ITF61: Cosenza,Small regions (TL3) - predominantly rural close to a city,12716.8,12296.6,12744.1,12674.8,13182.9,14375.3,15339.6,15855.9,15551.7,15000.5,15269.9,15206.8,..,..
    ITF62: Crotone,Small regions (TL3) - predominantly rural remote,2600.46,2652.4,2721.07,2859.01,3033.09,3171.19,3346.57,3546.7,3420.72,3604.29,3717.64,3685.16,..,..
    ITF63: Catanzaro,Small regions (TL3) - predominantly rural close to a city,6120.53,5915.13,6095.27,6273.01,6387.84,6926.32,7136.17,7824.92,7971.31,8087.7,8681.42,8562.03,..,..
    ITF64: Vibo Valentia,,2376.82,2385.4,2457.19,2484.72,2575.55,2826.08,2870.29,3055.17,2988.9,3086.33,3094.56,3039.53,..,..
    ITF65: Reggio di Calabria,Small regions (TL3) - intermediate,9280.66,9194.44,9282.77,9792.66,10106.1,10600.9,11016.9,11522.5,11353,11274.8,10995.5,10641.6,..,..
  ITG1: Sicily,Large regions (TL2),89706.2,88181.4,90746.4,91246.8,96105.5,103794,108186,113310,111218,111361,112898,110827,108650,..
    ITG11: Trapani,Small regions (TL3) - intermediate,7908.11,7701.54,7748.17,7725.37,8022.78,8732.8,8993.79,9113.45,8659.98,8785.04,8775.08,8619.65,..,..
    ITG12: Palermo,Small regions (TL3) - predominantly urban,21803.4,21400.3,21845.4,22265.9,23685.2,25591.5,26975.9,29659.5,29608.1,29794.8,29700.8,29009.8,..,..
    ITG13: Messina,Small regions (TL3) - intermediate,13101.3,12661.3,12694,12565.1,13377.6,14151.6,14804.6,14625.7,14285,13905.4,14804.2,14516.7,..,..
    ITG14: Agrigento,,6609.06,6665.47,6955.81,7034.55,7204.41,8022.56,8433.09,8103.43,8129.45,8042.52,8215.74,8153.44,..,..
    ITG15: Caltanissetta,,4657.25,4480.68,4600.74,4672.7,4949.89,5248.72,5523.01,6096.3,5518.11,5607.97,5653.2,5572.26,..,..
    ITG16: Enna,Small regions (TL3) - predominantly rural remote,2675.75,2685.71,2784.87,2903.12,2979.24,3103.8,3454.96,3426.24,3467.1,3543.08,3431.46,3355.14,..,..
    ITG17: Catania,Small regions (TL3) - predominantly urban,19672.1,19406.7,20153.4,20018.7,21147.1,22559.7,23522.8,25173.7,24654.6,24396.6,24557.5,24214.1,..,..
    ITG18: Ragusa,Small regions (TL3) - intermediate,5896.9,5982.19,6648.3,6816.77,6777.21,7351.56,7339.39,7322.02,7441.34,7681.39,7910.06,7735.68,..,..
    ITG19: Siracusa,,7382.27,7197.41,7315.76,7244.61,7962.12,9031.43,9138.52,9789.33,9454.5,9604.42,9848.22,9648.98,..,..
  ITG2: Sardinia,Large regions (TL2),32703.3,31738.9,32955.1,33641.3,34678.2,37642.2,39569.1,42054.7,41434.9,41574.3,42652.7,42004.8,40639.2,..
    ITG25: Sassari,Small regions (TL3) - predominantly rural close to a city,6564.22,6354.62,6468.61,6494.45,6795.16,7620.87,8062.58,7913.18,7842.29,7943.49,8608.58,8543.7,..,..
    ITG26: Nuoro,Small regions (TL3) - predominantly rural remote,3114.18,2986.68,3077.8,3103.33,3151.33,3452.28,3539.73,3464.41,3450.16,3579.75,3638.29,3571.22,..,..
    ITG27: Cagliari,Small regions (TL3) - intermediate,12599.6,12100.2,12749.6,13159.4,13330.7,14304.9,15019.9,17527.9,16975.1,16572.2,16627.9,16348.8,..,..
    ITG28: Oristano,Small regions (TL3) - predominantly rural remote,2950.09,3017.12,3155.94,3290.25,3355.28,3601.24,3692.22,3606.5,3579.87,3602.39,3586.26,3531.94,..,..
    ITG29: Olbia-Tempio,,2896.24,2868.8,3057.35,3156.34,3484.43,3706,3897.1,4127.51,4256.35,4446.3,4659.4,4570.43,..,..
    ITG2A: Ogliastra,,869.04,878.36,934.12,954.22,968.8,1011.4,1073.77,1058.44,1039.02,1141.35,1237.04,1217.91,..,..
    ITG2B: Medio Campidano,Small regions (TL3) - predominantly rural close to a city,1460.3,1404.42,1435.94,1429.91,1526.39,1701.32,1872.66,1750.09,1679.64,1762.95,1766.46,1741.74,..,..
    ITG2C: Carbonia-Iglesias,,2249.61,2128.67,2075.71,2053.44,2066.21,2244.13,2411.08,2606.69,2612.41,2525.89,2527.42,2479.03,..,..
  ITH1: Province of Bolzano-Bozen,Large regions (TL2),17768.1,17289.7,17794.2,18500.3,18966.8,20869.3,22229.1,23651.9,23920.7,24626,25825.7,26422.1,26970.3,..
    ITH10: Bolzano-Bozen,Small regions (TL3) - predominantly rural close to a city,17768.1,17289.7,17794.2,18500.3,18966.8,20869.3,22229.1,23651.9,23920.7,24626,25825.7,26422.1,..,..
  ITH2: Province of Trento,Large regions (TL2),17537,17266.2,17625.9,17780.9,18319.5,19808.9,21289.4,22362.6,22269.2,22825,23697.7,23349.8,23844.8,..
    ITH20: Trento,Small regions (TL3) - intermediate,17537,17266.2,17625.9,17780.9,18319.5,19808.9,21289.4,22362.6,22269.2,22825,23697.7,23349.8,..,..
  ITH3: Veneto,Large regions (TL2),146997,143708,149566,153692,159244,171794,182516,189308,184428,187556,196218,193798,192415,..
    ITH31: Verona,Small regions (TL3) - intermediate,27373.7,26321.2,27379.2,28209.2,29251.9,32195.3,34274.3,35690.8,37243.1,36395.1,37158.2,36983.8,..,..
    ITH32: Vicenza,,26233.3,25849.5,26786.6,27382,27946.5,29753.4,31878.5,32896,32040.6,32828,34695.8,33996.7,..,..
    ITH33: Belluno,Small regions (TL3) - predominantly rural close to a city,6482.13,6306.94,6526.37,6602.91,6407.41,6852.82,7313.99,7951.21,7273.73,7626.75,8224.85,8049.98,..,..
    ITH34: Treviso,Small regions (TL3) - intermediate,26752.2,26383.1,27276.9,27873.7,30129.4,32217.2,34524.4,36786,33647,33604.7,34888.3,34355.5,..,..
    ITH35: Venice,,25747.2,25046.4,25978.1,26674.9,27547.2,30567.8,32062.8,32404.6,32354.1,32745.5,34079.2,33872.3,..,..
    ITH36: Padua,,27989.4,27322.7,28799.1,29990.1,30921.1,32888.3,34892.8,36195.1,34506,36525.1,39039.1,38522.6,..,..
    ITH37: Rovigo,Small regions (TL3) - predominantly rural close to a city,6419.53,6477.78,6819.6,6959.63,7040.7,7319.09,7569.21,7383.92,7363.37,7831.1,8132.49,8018.55,..,..
  ITH4: Friuli-Venezia Giulia,Large regions (TL2),36705.1,36233.3,36302.7,36718.2,38485,41789.9,44525,45764.7,43827,45285.1,46776.1,46546.4,46261.4,..
    ITH41: Pordenone,Small regions (TL3) - intermediate,9217.22,9002.09,8956.48,9166.62,9652.88,10508,10933,11114.7,10342.4,11280.2,11887.9,11782.3,..,..
    ITH42: Udine,Small regions (TL3) - predominantly rural close to a city,16605.2,16614.3,16541.8,16644.6,17276.4,18947.2,20721.7,21041.4,20329.5,19977.2,20313,20235.6,..,..
    ITH43: Gorizia,Small regions (TL3) - predominantly urban,3772.55,3709.2,3731.8,3775.05,4051.39,4300.58,4409.7,4409.58,4308.91,4844.07,4952.08,4918.78,..,..
    ITH44: Trieste,,7110.12,6907.67,7072.54,7131.97,7504.34,8034.07,8460.65,9199,8846.18,9183.66,9623.19,9611,..,..
  ITH5: Emilia-Romagna,Large regions (TL2),139422,137295,139974,142476,147534,162136,173318,181754,174870,178693,188677,187356,187999,..
    ITH51: Piacenza,Small regions (TL3) - predominantly rural close to a city,8743.12,8726.34,8974.36,9142.76,9371.46,10710.3,11517.6,11357.4,10625.5,10237.6,11267.4,11355.4,..,..
    ITH52: Parma,Small regions (TL3) - intermediate,14579.9,14305.1,14643.9,14931.5,15228.6,16424.1,17583.6,18443.9,18362.6,19137.8,19566.4,19579.5,..,..
    ITH53: Reggio Nell'Emilia,,16964.2,16593.9,16774.5,17068.6,18314.5,20012.4,21346,22948,21552.3,21400,22438.5,22131.9,..,..
    ITH54: Modena,,23783.8,23175,23106.5,23167.3,24134.2,26721.9,29395.6,31427.3,29577.2,29872.6,30585.3,30078.4,..,..
    ITH55: Bologna,,35891.5,35240.3,35775.1,36131.2,37425.1,41359.4,43094.8,44724,43872.7,46654.5,49605.3,49238.9,..,..
    ITH56: Ferrara,Small regions (TL3) - predominantly rural close to a city,9803.43,9555.15,9800.3,10026.1,10070.9,10592.6,11723.2,12254,11123.3,10996.5,11612.1,11482.4,..,..
    ITH57: Ravenna,Small regions (TL3) - intermediate,10910.9,10887.6,11274.3,11586.9,11971.9,13039.3,13705.8,14797.1,14172,14330.7,15748.6,15737.2,..,..
    ITH58: Forlì-Cesena,,10616.5,10682.8,11110,11524.8,11740.4,13016.2,14021.5,14199.9,14282.3,14855.5,15426,15360.1,..,..
    ITH59: Rimini,,8128.3,8129.2,8515.18,8896.7,9277.38,10259.9,10929.5,11602.3,11302.6,11208,12429,12392.5,..,..
  ITI1: Tuscany,Large regions (TL2),105119,104012,106895,108094,111406,121127,128668,134608,133816,135041,140611,140285,141637,..
    ITI11: Massa-Carrara,Small regions (TL3) - intermediate,4457.75,4420.46,4585.45,4566.12,4854.64,5233.17,5456.93,5366.21,5775.87,5640.99,5870.43,5870.84,..,..
    ITI12: Lucca,Small regions (TL3) - predominantly urban,9635.58,9685.6,9983.17,10126.6,10486.2,11303.1,12697.8,13112.5,13515.8,13823.4,14087.5,13987.6,..,..
    ITI13: Pistoia,,6368.1,6468.63,6641.87,7082.06,7160.48,7443.27,8345.82,8474.17,8238.92,8579.29,9115.88,9098.96,..,..
    ITI14: Florence,Small regions (TL3) - intermediate,34742.4,33768.5,34529.3,34535.6,35538.8,38813.1,40799.1,43662.4,43337.5,43426.8,45251.6,45184.4,..,..
    ITI15: Prato,Small regions (TL3) - predominantly urban,7846.04,7713.06,7808.91,7824.95,8038.26,8681.67,9369.51,9363.13,9198.84,8828.76,9244.66,9150.03,..,..
    ITI16: Livorno,Small regions (TL3) - intermediate,8180.8,8166.06,8470.67,8674.68,8845.07,9749.87,9707.16,10859.7,10821.9,11122.9,11541.8,11592.4,..,..
    ITI17: Pisa,,12066.4,11608.4,11774.7,11845,12554.3,13594.4,14900.1,15792,15369.7,15316.5,16327.4,16279.4,..,..
    ITI18: Arezzo,Small regions (TL3) - predominantly rural close to a city,9640.33,9715.16,10012.4,10180.2,10367.5,11419.4,11721.4,11538.5,11291.3,11531.5,11988,11855.6,..,..
    ITI19: Siena,,7622.57,7534,7847.35,7777.92,8013.48,8674.06,9194.56,9734.12,9610.57,9925.71,10467.4,10501.5,..,..
    ITI1A: Grosseto,Small regions (TL3) - predominantly rural remote,4558.61,4932.06,5241.72,5481.18,5547.62,6215.27,6475.72,6704.94,6656.08,6844.9,6717.24,6762.67,..,..
  ITI2: Umbria,Large regions (TL2),22581,21999.5,22549.2,22963.4,23576.5,25721.6,27267.5,28542,27280.7,27830.3,28596.4,28233.2,28671.5,..
    ITI21: Perugia,Small regions (TL3) - intermediate,16961.9,16643.5,17115.3,17408.2,18039.5,19489.8,20539.1,21739.3,20627.6,20912.8,21628.1,21320,..,..
    ITI22: Terni,,5619.08,5356.03,5433.95,5555.24,5536.91,6231.83,6728.35,6802.68,6653.08,6917.58,6966.99,6911.96,..,..
  ITI3: Marche,Large regions (TL2),39961.3,40245.6,40978.7,41717.7,43161.6,47446.3,50492.3,51837.9,51148.4,51138.8,52671.3,51712.7,50716.6,..
    ITI31: Pesaro e Urbino,Small regions (TL3) - predominantly rural close to a city,8813.77,8946.79,9031.68,9162.76,9704.73,10789.3,11272.7,11768.3,11592.3,11776.4,12227.4,11938.1,..,..
    ITI32: Ancona,Small regions (TL3) - intermediate,13008,13065.8,13251.9,13301.2,13604.2,15238.5,16626.5,17910.7,17378.9,17358.3,17863.7,17570.6,..,..
    ITI33: Macerata,Small regions (TL3) - predominantly rural close to a city,7879.43,7889.02,7962.17,8157.94,8753.67,9755.04,9946.81,9899,9930.13,10025.5,10402.4,10210.8,..,..
    ITI34: Ascoli Piceno,Small regions (TL3) - intermediate,5727.29,5730.09,5953.18,6176.17,6203.05,6527.28,7106.94,6766.62,6832.32,6609.61,6741.96,6672.31,..,..
    ITI35: Fermo,,4532.87,4613.92,4779.72,4919.68,4896.02,5136.31,5539.39,5493.38,5414.81,5369.03,5437.27,5319.51,..,..
  ITI4: Lazio,Large regions (TL2),177270,178292,182138,189864,196742,212221,226033,235284,235077,236673,244985,242623,240586,..
    ITI41: Viterbo,Small regions (TL3) - predominantly rural close to a city,6446.8,6631.2,6983.53,7436.59,7287.56,7503.54,8186.03,8270.76,7928.74,8303.29,8517.52,8376.07,..,..
    ITI42: Rieti,,2988.4,3073.09,3267.48,3500.26,3545.06,3861.93,4119.03,4096.03,3926.89,3904.68,3876.33,3838.38,..,..
    ITI43: Rome,Small regions (TL3) - predominantly urban,146034,146273,148611,154624,160550,174214,185651,195016,195794,195527,202919,201345,..,..
    ITI44: Latina,Small regions (TL3) - intermediate,11569.1,12039.5,12833.8,13476.8,14171.1,14781.7,15471.8,15391.3,15061.9,15272,15353.1,15127,..,..
    ITI45: Frosinone,Small regions (TL3) - predominantly rural close to a city,10231.3,10275.8,10441.9,10827,11187.4,11859.7,12605.4,12509.9,12365.3,13666.1,14316.4,13936.5,..,..
JPN: Japan,Country,3482920,3595000,3704310,3906200,4060800,4275250,4457520,4393740,4264360,4455140,4661240,4780340,..,..
  JPA: Hokkaido,Large regions (TL2),135478,138519,141607,149023,151021,154033,157979,157192,158666,164457,170093,173224,..,..
    JPA01: Hokkaido,Small regions (TL3) - intermediate,135478,138519,141607,149023,151021,154033,157979,157192,158666,164457,170093,173224,..,..
  JPB: Tohoku,Large regions (TL2),228648,233221,236430,247850,253317,269297,276403,268729,263711,273614,277298,298276,..,..
    JPB02: Aomori,Small regions (TL3) - predominantly rural close to a city,31177.9,31807.3,32345.5,33603,33829.4,37986.2,39040.3,38121.3,38186.5,39734.5,41053.3,42743.8,..,..
    JPB03: Iwate,,31777.8,32760.5,33347,34682.6,34967.6,36706,37519.2,36630.8,36186,37065.9,38892.9,41874.3,..,..
    JPB04: Miyagi,Small regions (TL3) - predominantly urban,58932.8,59772.4,61107.4,63357.4,65351,68372.5,69110.5,67986.8,67546.5,70507.3,71451.1,79867.3,..,..
    JPB05: Akita,Small regions (TL3) - predominantly rural remote,26506.7,27040,27574.9,28180,28710.7,30521.6,30964.2,30061.4,29902.4,31086.1,32416.1,33467.7,..,..
    JPB06: Yamagata,,27015.9,27728.8,28063.5,29516.6,30155.2,32015.9,34127.8,32248.7,30667.9,32725.4,34320.5,35263.7,..,..
    JPB07: Fukushima,,53236.7,54112.1,53991.5,58510.5,60303.3,63695.3,65640.9,63679.8,61221.5,62495,59163.8,65058.8,..,..
"  JPC: Northern-Kanto, Koshin",Large regions (TL2),259933,268946,276569,288413,299868,315906,332808,327054,316711,337383,351832,360975,..,..
    JPC08: Ibaraki,Small regions (TL3) - intermediate,75512.3,79719.4,82144.5,83809.9,87377.3,93290.3,100070,99008.8,94105.7,101368,107160,111270,..,..
    JPC09: Tochigi,,53545,55458.4,57005.9,60929.7,63473.8,66716.1,69538.5,67938.4,66996.8,70975.2,72811.6,73956,..,..
    JPC10: Gumma,,51695.6,53462.4,55639.9,57462.5,59085.9,62669.1,66432,64370.9,63396.7,67297.3,70148.6,72291.6,..,..
    JPC19: Yamanashi,Small regions (TL3) - predominantly rural close to a city,21721.3,22344.2,22886.3,24037.2,24911.7,26469.6,27435,27216.4,25879.9,28551.2,29876.1,29994.5,..,..
    JPC20: Nagano,,57459.1,57961.6,58892.2,62174,65019,66760.8,69332.4,68519.5,66332,69191.3,71835.8,73462.6,..,..
  JPD: Southern-Kanto,Large regions (TL2),1105410,1139850,1184680,1261110,1321780,1390160,1446320,1444200,1393950,1446940,1520140,1545220,..,..
    JPD11: Saitama,Small regions (TL3) - predominantly urban,135367,140291,144733,154147,161302,170284,176520,174172,172162,180557,189495,194728,..,..
    JPD12: Chiba,,129252,133945,138963,146103,150361,159352,168590,168639,168573,175924,180635,182860,..,..
    JPD13: Tokyo,,636278,656270,681558,730825,767103,801149,830700,832326,793736,818526,864157,878434,..,..
    JPD14: Kanagawa,,204509,209347,219428,230038,243012,259376,270515,269063,259478,271929,285853,289194,..,..
  JPE: Hokuriku,Large regions (TL2),151249,154909,158883,165812,171877,178186,184650,181933,175418,185472,194036,196771,..,..
    JPE15: Niigata,Small regions (TL3) - intermediate,63060.5,64350.4,65823.4,69297.5,72047.5,74438.3,76395.3,75372.3,73957.2,77785.8,81947,83031.5,..,..
    JPE16: Toyama,,31790.9,33183.6,34868.2,36330.3,37274.2,38229.7,39577.3,38619,36049.8,39066.9,41402.7,41900.7,..,..
    JPE17: Ishikawa,,33222.4,33414,33727.9,35199.1,36187,37989.9,39852.7,39475.7,37353.6,39084.7,40673.7,42307,..,..
    JPE18: Fukui,Small regions (TL3) - predominantly rural remote,23174.9,23960.6,24463.5,24985,26367.8,27527.8,28824.9,28466.1,28057.3,29534.6,30012.3,29531.7,..,..
  JPF: Toukai,Large regions (TL2),427441,451771,463873,493347,521277,559076,587173,552458,531613,552817,581676,614835,..,..
    JPF21: Gifu,Small regions (TL3) - intermediate,50928.3,52681.7,54530.5,56069.1,58225.2,62130.8,63962.8,63139.2,60822,63553.2,66359.4,68205.6,..,..
    JPF22: Shizuoka,,107839,114902,117384,123322,131322,138555,143556,140844,130547,139015,144837,148003,..,..
    JPF23: Aichi,Small regions (TL3) - predominantly urban,221960,235099,240511,258149,273129,294676,311470,285163,277971,284051,304260,328393,..,..
    JPF24: Mie,Small regions (TL3) - intermediate,46714,49088.8,51448.2,55806.9,58601.2,63713.3,68184.1,63311.9,62272.6,66197.6,66219.6,70232.6,..,..
  JPG: Kansai region,Large regions (TL2),557572,571172,584193,614685,634542,666085,693127,693468,666253,699668,728668,743631,..,..
    JPG25: Shiga,Small regions (TL3) - intermediate,38974.8,41015,42670.3,45251.4,46591,49673.5,51451.9,51330.6,50390.3,53300.5,54392.2,55142.8,..,..
    JPG26: Kyoto,Small regions (TL3) - predominantly urban,64735.8,67988,70534,74894.3,77368.3,80643.1,85756.9,85302.4,83753.8,87691.9,92186,94114.6,..,..
    JPG27: Osaka,,269375,273097,278853,293004,302862,316353,332708,333035,318349,329148,345637,352133,..,..
    JPG28: Hyogo,,133835,136668,138730,146077,149479,158824,161768,162509,154787,166093,170700,174649,..,..
    JPG29: Nara,,26360.5,27494.2,27895.5,28818.8,29811.4,30801.6,31344.5,31273,30084.5,31874.7,32581.2,33443.9,..,..
    JPG30: Wakayama,Small regions (TL3) - intermediate,24291,24910,25510.4,26639.3,28429.9,29790.3,30097.5,30018,28888,31559.5,33171.8,34146.6,..,..
  JPH: Chugoku,Large regions (TL2),195200,201603,208349,217140,227222,239991,253957,246741,238816,248003,263915,264761,..,..
    JPH31: Tottori,Small regions (TL3) - intermediate,14697,14608.8,15108.5,15871.5,15860.4,16893,16849.2,16495.8,16033.3,15933.7,16439.3,16708.3,..,..
    JPH32: Shimane,Small regions (TL3) - predominantly rural remote,17786.9,18248.1,18525.1,19133.4,18978.1,19763.1,20769.6,20068.6,20289.8,21089.5,22394.7,22384.4,..,..
    JPH33: Okayama,Small regions (TL3) - intermediate,50729.1,52434.4,53114.5,54703.7,58468.7,64507.5,65655.7,63746.1,61374.5,63308,67605.9,67521.1,..,..
    JPH34: Hiroshima,Small regions (TL3) - predominantly urban,73214.6,75014.6,79724.5,83382.6,87789.8,90782.1,100367,96799.7,92476.5,96324.1,104382,103735,..,..
    JPH35: Yamaguchi,Small regions (TL3) - predominantly rural remote,38772.5,41296.7,41876.1,44049.1,46124.6,48044.8,50315.4,49631,48642.4,51347.8,53092.7,54412,..,..
  JPI: Shikoku,Large regions (TL2),98454.8,100754,103004,107243,108097,113934,117058,115197,114637,121196,128619,128827,..,..
    JPI36: Tokushima,Small regions (TL3) - intermediate,19431.9,20221.4,21431.1,22317.1,22340.1,23081.5,23707.9,23926.7,23810.9,25632,26708.6,27133.5,..,..
    JPI37: Kagawa,,26274.8,27155.6,27205,28519.4,28755.3,30789.3,32008.7,31786.4,31691.5,32489.2,34808.1,35970.6,..,..
