  MEX75: Tuxtla Gutiérrez,826276
NLD: The Netherlands,16829289
  NL002: Amsterdam,2452659
  NL001: The Hague,906897
  NL003: Rotterdam,1509373
  NL004: Utrecht,754615
  NL005: Eindhoven,700299
NOR: Norway,5107970
  NO001: Oslo,1299955
POL: Poland,38017856
  PL001: Warsaw,3037890
  PL010: Katowice,2589349
  PL002: Lódz,939568
  PL003: Kraków,1362740
  PL004: Wroclaw,837995
  PL005: Poznan,950596
  PL006: Gdansk,1105467
  PL009: Lublin,671410
PRT: Portugal,10427301
  PT001: Lisbon,2886662
  PT002: Porto,1313829
SWE: Sweden,9644864
  SE001: Stockholm,2018208
  SE002: Gothenburg,898541
  SE003: Malmö,676852
SVN: Slovenia,2061085
  SI001: Ljubljana,585850
SVK: Slovak Republic,5415949
  SK001: Bratislava,729157
GBR: United Kingdom,64308261
  UK001: London,12401188
  UK002: Birmingham (UK),1957078
  UK003: Leeds,1197922
  UK004: Bradford,577474
  UK005: Liverpool,954181
  UK006: Manchester,1935559
  UK007: Cardiff,664861
  UK008: Sheffield,920128
  UK009: Bristol,836621
  UK010: Newcastle,1082729
  UK011: Leicester,692217
  UK017: Portsmouth,594455
  UK023: Nottingham,863918
  UK097: Glasgow,967101
  UK098: Edinburgh,764454
USA: United States,318857056
  US106: Philadelphia,4066064
  US107: Columbus,1970809
  US114: Denver,2732325
  US012: Portland,2358928
  US122: Baltimore,1996200
  US124: Cincinnati,2165678
  US125: Washington,6022391
  US128: Kansas City,2098357
  US134: Saint Louis (US),2610223
  US135: Sacramento/Roseville,2311721
  US014: Minneapolis,3496061
  US146: San Francisco,6989419
  US190: Los Angeles,17718858
  US196: Atlanta,4762159
  US202: Phoenix,4163445
  US209: Dallas,4547218
  US210: San Diego,3215637
  US242: Houston,6519358
  US245: San Antonio,2345730
  US250: Orlando,2374184
  US259: Miami,5805883
  US003: Seattle,2776119
  US033: Milwaukee,1579180
  US045: Detroit,3801161
  US048: Boston,3684250
  US055: Chicago,9655015
  US069: Cleveland,1468288
  US084: New York,16713992
  US103: Harrisburg,591987
  US115: Indianapolis,1769561
  US117: Dayton,693273
  US133: Colorado Springs,694770
  US141: Louisville,1286409
  US147: Wichita,609887
  US149: Richmond,533689
  US154: Norfolk-Portsmouth-Chesapeake-Virginia beach,1109942
  US155: Fresno,1152979
  US159: Las Vegas,2293610
  US160: Nashville,1328572
  US161: Tulsa,982186
